Category,Points,Points Awarded,Winner,Winner Movie,Order
Best Sound (5 pts),5,5,Dune: Part Two,Dune: Part Two,1
Best Costume Design (5 pts),5,5,Wicked,Wicked,6
Best Animated Short Film (5 pts),5,5,In the Shadow of Cypress,In the Shadow of Cypress,7
Best Live Action Short Film (5 pts),5,5,I’m Not a Robot,I’m Not a Robot,5
Best Documentary Feature (5 pts),5,5,No Other Land,No Other Land,4
Best Documentary Short Subject (5 pts),5,5,The Only Girl in the Orchestra,The Only Girl in the Orchestra,8
Best Film Editing (5 pts),5,5,Anora,Anora,9
Best Makeup and Hairstyling (5 pts),5,5,The Substance,The Substance,3
Best Production Design (5 pts),5,5,Wicked,Wicked,11
Best Visual Effects (5 pts),5,5,Dune: Part Two,Dune: Part Two,10
Best Animated Feature Film (10 pts),10,10,Flow,Flow,1
Best Original Song (10 pts),10,10,,,
Best Original Score (10 pts),10,10,,,
Best Cinematography (10 pts),10,10,,,
Best International Feature Film (10 pts),10,10,,,
Best Director (15 pts),15,15,,,
Best Lead Actor (15 pts),15,15,,,
Best Lead Actress (15 pts),15,15,,,
Best Supporting Actor (15 pts),15,15,,,
Best Supporting Actress (15 pts),15,15,,,
Best Adapted Screenplay (15 pts),15,15,,,
Best Original Screenplay (15 pts),15,15,"“Anora,” Sean Baker",Anora,12
Best Picture (20 pts),20,20,Anora,Anora,13
Which film will win the most Oscars? (10 pts),10,10,,,
TIEBREAK (Closest): The film with the most wins will have how many Oscars?,,,,,